ScenarioLabel,Policy,t_yr,A_Mt,M_build_Mt,S_ops_Mt,FE_klaunch_per_yr,FA_klaunch_per_yr,U_se_Mt_per_yr,Phi_se_Mt_per_yr,rocket_health,Delivered_Mt_per_yr
se_only_base,tau_star,0.0,-3.0070492920262138e-27,-7.837347468668616e-34,0.0,0.0,9.44626182847219e-12,0.009358836,0.009358836,1.0,1.1807827285590236e-12
se_only_base,tau_star,0.94363720703125,0.00883134595491954,1.1142305160881757e-12,0.0,0.0,0.13821188509986698,0.011050545643825613,0.011050545643825613,1.0,0.017276485637483376
se_only_base,tau_star,1.8872744140625,0.0029563174200679513,0.016302734655384545,0.0,0.0,0.129372750199053,0.0130393549202021,0.0130393549202021,1.0,0.01617159377488163
se_only_base,tau_star,2.83091162109375,6.203873911817634e-07,0.03156285223835779,0.0,0.0,0.1229915428988432,0.01537405366088178,0.01537405366088178,1.0,0.0153739428623554
se_only_base,tau_star,3.774548828125,7.250329091939198e-07,0.04607027674204886,0.0,0.0,0.14488002417658824,0.018110138475604432,0.018110138475604432,1.0,0.01811000302207353
se_only_base,tau_star,4.71818603515625,8.529437918641058e-07,0.06315954941312582,0.0,0.0,0.1704805712124514,0.02131022950519779,0.02131022950519779,1.0,0.021310071401556423
se_only_base,tau_star,5.6618232421875,1.0022281437922465e-06,0.08326852567212703,0.0,0.0,0.20035292684909464,0.025044299882733937,0.025044299882733937,1.0,0.02504411585613683
se_only_base,tau_star,6.60546044921875,1.1759743402762474e-06,0.10690108521117904,0.0,0.0,0.23511521517072156,0.029389615407939804,0.029389615407939804,1.0,0.029389401896340196
se_only_base,tau_star,7.54909765625,1.3775436572856996e-06,0.13463401833296043,0.0,0.0,0.27544007177217644,0.03443025577478442,0.03443025577478442,1.0,0.034430008971522055
se_only_base,tau_star,8.49273486328125,1.6105281964625629e-06,0.16712345583690838,0.0,0.0,0.3220462366656589,0.04025606365324819,0.04025606365324819,1.0,0.04025577958320736
se_only_base,tau_star,9.4363720703125,1.8786790194353209e-06,0.20511030724967177,0.0,0.0,0.3756841909714479,0.04696084923661773,0.04696084923661773,1.0,0.04696052387143099
se_only_base,tau_star,10.38000927734375,2.18579743713642e-06,0.24942400483643326,0.0,0.0,0.43711442285715696,0.054639673438220786,0.054639673438220786,1.0,0.05463930285714462
se_only_base,tau_star,11.323646484375,2.535583201354531e-06,0.3009836839786838,0.0,0.0,0.5070770725012725,0.06338505346203814,0.06338505346203814,1.0,0.06338463406265907
se_only_base,tau_star,12.26728369140625,2.931435674404234e-06,0.36079578303426924,0.0,0.0,0.5862521715977701,0.07328199269138476,0.07328199269138476,1.0,0.07328152144972126
se_only_base,tau_star,13.2109208984375,3.3762083869816655e-06,0.4299469532620848,0.0,0.0,0.675210559604019,0.08440184517798796,0.08440184517798796,1.0,0.08440131995050237
se_only_base,tau_star,14.15455810546875,3.871924048199393e-06,0.5095911790899278,0.0,0.0,0.7743568896497532,0.09679519135556908,0.09679519135556908,1.0,0.09679461120621917
se_only_base,tau_star,15.0981953125,4.419465927244991e-06,0.6009301756642402,0.0,0.0,0.8838679081125262,0.11048412298943433,0.11048412298943433,1.0,0.11048348851406578
