ScenarioLabel,Policy,t_yr,A_Mt,M_build_Mt,S_ops_Mt,FE_klaunch_per_yr,FA_klaunch_per_yr,U_se_Mt_per_yr,Phi_se_Mt_per_yr,rocket_health,Delivered_Mt_per_yr
se_only_base,cost_opt,0.0,1.0627045736621324e-27,7.5548421752886895e-34,0.0,0.0,5.82457039542846e-12,0.009358836,0.009358836,1.0,7.280712994285575e-13
se_only_base,cost_opt,0.9908190673820158,0.0092729131881408,7.213869258872968e-13,0.0,0.0,0.13972533331695838,0.011142550406268503,0.011142550406268503,1.0,0.017465666664619798
se_only_base,cost_opt,1.9816381347640315,0.0030078490649820223,0.01730531555656514,0.0,0.0,0.1303308004467114,0.013256398231398537,0.013256398231398537,1.0,0.016291350055838923
se_only_base,cost_opt,2.9724572021460474,7.609596295668437e-07,0.03344709582528541,0.0,0.0,0.1260594101089403,0.015757429894994394,0.015757429894994394,1.0,0.01575742626361754
se_only_base,cost_opt,3.963276269528063,7.645884676919061e-07,0.04905985422014382,0.0,0.0,0.14968612783102728,0.018710903558651314,0.018710903558651314,1.0,0.01871076597887841
se_only_base,cost_opt,4.954095336910079,9.009354530721366e-07,0.06759883791733927,0.0,0.0,0.17752502464296618,0.022190790997414278,0.022190790997414278,1.0,0.022190628080370773
se_only_base,cost_opt,5.944914404292095,1.0623865179003682e-06,0.08958573533655341,0.0,0.0,0.21023857236559731,0.026280013192534455,0.026280013192534455,1.0,0.026279821545699664
se_only_base,cost_opt,6.93573347167411,1.2523029240621992e-06,0.11562428361142936,0.0,0.0,0.2485602458869218,0.031070255019194467,0.031070255019194467,1.0,0.03107003073586523
se_only_base,cost_opt,7.926552539056126,1.474555372986801e-06,0.1464090624886699,0.0,0.0,0.293287269359724,0.036661169798410595,0.036661169798410595,1.0,0.036660908669965506
se_only_base,cost_opt,8.917371606438142,1.7333136857239743e-06,0.1827333898264224,0.0,0.0,0.34526757524528834,0.04315874925879909,0.04315874925879909,1.0,0.04315844690566104
se_only_base,cost_opt,9.908190673820158,2.03291703732645e-06,0.2254956019391457,0.0,0.0,0.40537811384708494,0.050672612184385894,0.050672612184385894,1.0,0.05067226423088562
se_only_base,cost_opt,10.899009741202173,2.377700692202495e-06,0.27570264752652685,0.0,0.0,0.47449257834942965,0.05931196998965936,0.05931196998965936,1.0,0.059311572293678706
se_only_base,cost_opt,11.88982880858419,2.771768461127748e-06,0.3344696842715106,0.0,0.0,0.5534370188282697,0.0691800784105942,0.0691800784105942,1.0,0.06917962735353371
se_only_base,cost_opt,12.880647875966204,3.2187053861950065e-06,0.40301417812777424,0.0,0.0,0.6429327615885501,0.08036710236394455,0.08036710236394455,1.0,0.08036659519856876
se_only_base,cost_opt,13.87146694334822,3.7212330771025093e-06,0.48264293303108813,0.0,0.0,0.743527669428167,0.09294152343869713,0.09294152343869713,1.0,0.09294095867852087
se_only_base,cost_opt,14.862286010730235,4.280823885380052e-06,0.5747306070305307,0.0,0.0,0.8555191137805745,0.10694051140383178,0.10694051140383178,1.0,0.10693988922257182
se_only_base,cost_opt,15.853105078112252,4.8973051018561854e-06,0.6806886883359754,0.0,0.0,0.9788749206515701,0.12236004248701952,0.12236004248701952,1.0,0.12235936508144628
se_only_base,cost_opt,16.843924145494267,5.568499414091227e-06,0.8019246803314296,0.0,0.0,1.1131615458930266,0.13914592137884368,0.13914592137884368,1.0,0.13914519323662833
se_only_base,cost_opt,17.834743212876283,6.289959490515813e-06,0.939792390924836,0.0,0.0,1.2574910580175063,0.15718715423813795,0.1571871542413981,1.0,0.15718638225218828
se_only_base,cost_opt,18.8255622802583,7.0548578891903275e-06,1.0955356555931024,0.0,0.0,1.4104991716886204,0.17631320309278922,0.17631320310351203,1.0,0.17631239646107755
se_only_base,cost_opt,19.816381347640316,7.85408396947337e-06,1.2702293398225555,0.0,0.0,1.5703646700942961,0.19629641387408256,0.19629641389384875,1.0,0.19629558376178702
se_only_base,cost_opt,20.80720041502233,8.676575059962173e-06,1.4647227470566175,0.0,0.0,1.734875668619716,0.2168602995959974,0.2168602996267537,1.0,0.21685945857746453
se_only_base,cost_opt,21.798019482404346,9.509872258358141e-06,1.6795912335573098,0.0,0.0,1.9015407961640436,0.23769343819758965,0.2376934382417476,1.0,0.23769259952050548
se_only_base,cost_opt,22.788838549786362,1.034084950473499e-05,1.915101593337824,0.0,0.0,2.067735023230216,0.25846770114139395,0.25846770120196233,1.0,0.258466877903777
se_only_base,cost_opt,23.77965761716838,1.1156529032628566e-05,2.1711955042515854,0.0,0.0,2.2308627581934255,0.2788586404276364,0.2788586405084032,1.0,0.2788578447741782
se_only_base,cost_opt,24.770476684550395,1.1944877650117296e-05,2.4474931739428953,0.0,0.0,2.388517102431003,0.2985653953638367,0.2985653954696209,1.0,0.2985646378038754
se_only_base,cost_opt,25.76129575193241,1.269548250446901e-05,2.7433167099249807,0.0,0.0,2.538614995027191,0.31732758545491585,0.31732758559193,1.0,0.31732687437839885
se_only_base,cost_opt,26.752114819314425,1.340003067583621e-05,3.057730227651836,0.0,0.0,2.679493115905621,0.3349372980598681,0.3349372982362492,1.0,0.3349366394882026
se_only_base,cost_opt,27.74293388669644,1.4052556039218531e-05,3.389591836421603,0.0,0.0,2.8099572347450343,0.3512452567759774,0.35124525700259873,1.0,0.3512446543431293
se_only_base,cost_opt,28.733752954078458,1.4649457991970606e-05,3.7376117372607807,0.0,0.0,2.9292859243881724,0.3661612854226808,0.3661612857144369,1.0,0.36616074054852155
se_only_base,cost_opt,29.72457202146047,1.5189329698304089e-05,4.100410780722975,0.0,0.0,3.0371961680080224,0.37965000880240585,0.37965000918035374,1.0,0.3796495210010028
se_only_base,cost_opt,30.715391088842487,1.5672652629548072e-05,4.476574765053218,0.0,0.0,3.1337822144462506,0.39172320954480555,0.3917232100399531,1.0,0.3917227768057813
se_only_base,cost_opt,31.706210156224504,1.6101418705941972e-05,4.864701161440216,0.0,0.0,3.2194399411849766,0.4024303734601076,0.4024303741206497,1.0,0.40242999264812207
se_only_base,cost_opt,32.69702922360652,1.647873448231367e-05,5.26343647144238,0.0,0.0,3.2947876113174432,0.41184878418380877,0.411848785090423,1.0,0.4118484514146804
se_only_base,cost_opt,33.68784829098853,1.6808448479733777e-05,5.671503769975801,0.0,0.0,3.360591242348935,0.42007419432634535,0.4200741956294204,1.0,0.4200739052936169
se_only_base,cost_opt,34.678667358370554,1.709482761820449e-05,6.087721005050344,0.0,0.0,3.417699774679201,0.42721272159537677,0.42721272362710283,1.0,0.42721247183490013
se_only_base,cost_opt,35.66948642575257,1.734229506073326e-05,6.511011267967765,0.0,0.0,3.4669924979445175,0.43337427715709625,0.433374280920669,1.0,0.4333740622430647
se_only_base,cost_opt,36.66030549313458,1.7555235981010503e-05,6.940406552146994,0.0,0.0,3.5093400574311433,0.43866756869790224,0.438667581388785,1.0,0.4386675071788929
se_only_base,cost_opt,37.6511245605166,1.7616190188469203e-05,7.375046682500779,0.0,0.0,3.5192910309146765,0.44284302131361136,0.4431966044452512,1.0,0.43991137886433457
se_only_base,cost_opt,38.64194362789861,0.002922343427678366,7.810919264637876,0.0,0.0,3.5061015523941594,0.4458109981170021,0.4470582983487003,1.0,0.43826269404927
se_only_base,cost_opt,39.63276269528063,0.010401347024384647,8.245158298424103,0.0,0.0,3.4947163228348077,0.44837269874493985,0.4503412755752803,1.0,0.43683954035435096
se_only_base,cost_opt,40.623581762662646,0.02182862026491703,8.67798724439359,0.0,0.0,3.4856149969170573,0.4504205083687034,0.4531252591978461,1.0,0.43570187461463217
se_only_base,cost_opt,41.61440083004466,0.03641212323426339,9.109688969455856,0.0,0.0,3.4785447246592307,0.452011326280451,0.45548106749308287,1.0,0.43481809058240384
se_only_base,cost_opt,42.60521989742668,0.053447508993881655,9.540515024447542,0.0,0.0,3.4732842373898523,0.4531949403488841,0.45747096130030357,1.0,0.43416052967373153
se_only_base,cost_opt,43.59603896480869,0.07230716602720258,9.970689555552951,0.0,0.0,3.4696402281686414,0.45401484561136146,0.4591492169310404,1.0,0.43370502852108017
