model_layer,iK,iE,Keff_tpy,K_max_total,delta_eff,epsilon,epsilon_mult,JE_ref,gamma_ref,gamma_star,JE,JE_relerr,phaseout_t,phaseout_label,status
reduced_mature_regime,0,0,116985.45,134250.0,0.8714,375552378.49766845,0.05,7511047569.953368,1e-08,0.3981071705534973,11346380162.267921,29.21251045635,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,1,116985.45,134250.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,0.3981071705534973,11346380162.267921,14.106255228175002,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,2,116985.45,134250.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,0.3981071705534973,11346380162.267921,6.553127614087501,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,3,116985.45,134250.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,0.3981071705534973,11346380162.267921,2.021251045635,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,4,116985.45,134250.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,0.3981071705534973,11346380162.267921,0.5106255228175002,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,5,116985.45,134250.0,0.8714,15022095139.906736,2.0,7511047569.953368,1e-08,0.00013593563908785255,11346380276.661274,0.24468723097624337,,Never,approx_grid_no_sign_change
