ScenarioLabel,Policy,t_yr,A_Mt,M_build_Mt,S_ops_Mt,FE_klaunch_per_yr,FA_klaunch_per_yr,U_se_Mt_per_yr,Phi_se_Mt_per_yr,rocket_health,Delivered_Mt_per_yr
rocket_only_base,time_opt,0.0,-1.8970325914380186e-40,3.818220734719949e-51,0.0,2.0000002318942403,0.0,0.0,0.0,1.0,0.25000002898678003
rocket_only_base,time_opt,1.5999999998254126,6.311071606455907e-39,0.40000004633520125,0.0,2.00000018606524,0.0,0.0,0.0,1.0,0.250000023258155
rocket_only_base,time_opt,3.1999999996508253,-6.219837846851362e-39,0.8000000835046024,0.0,2.0000001631599194,0.0,0.0,0.0,1.0,0.2500000203949899
rocket_only_base,time_opt,4.799999999476238,6.000028573382111e-39,1.2000001160929394,0.0,2.000000147895831,0.0,0.0,0.0,1.0,0.2500000184869789
rocket_only_base,time_opt,6.3999999993016505,-2.1999755287233475e-40,1.6000001456284587,0.0,2.0000001364523623,0.0,0.0,0.0,1.0,0.2500000170565453
rocket_only_base,time_opt,7.999999999127063,-1.3308903936413344e-40,2.0000001728752843,0.0,2.0000001273012686,0.0,0.0,0.0,1.0,0.2500000159126586
rocket_only_base,time_opt,9.599999998952477,3.2848755295151547e-41,2.4000001982918913,0.0,2.000000119678427,0.0,0.0,0.0,1.0,0.2500000149598034
rocket_only_base,time_opt,11.199999998777889,-7.467101257549748e-40,2.8000002221839297,0.0,2.0000001131471965,0.0,0.0,0.0,1.0,0.25000001414339956
rocket_only_base,time_opt,12.799999998603301,-2.4095396301450853e-40,3.2000002447697224,0.0,2.000000107434676,0.0,0.0,0.0,1.0,0.2500000134293345
rocket_only_base,time_opt,14.399999998428713,-1.7765073630784773e-40,3.6000002662130104,0.0,2.000000102358931,0.0,0.0,0.0,1.0,0.2500000127948664
rocket_only_base,time_opt,15.999999998254125,1.6319202514784772e-40,4.00000028664115,0.0,2.0000000977926087,0.0,0.0,0.0,1.0,0.2500000122240761
rocket_only_base,time_opt,17.59999999807954,-1.6788865759703001e-40,4.400000306156025,0.0,2.000000093643088,0.0,0.0,0.0,1.0,0.250000011705386
rocket_only_base,time_opt,19.199999997904953,-7.795171586535466e-41,4.800000324840996,0.0,2.0000000898409027,0.0,0.0,0.0,1.0,0.25000001123011284
rocket_only_base,time_opt,20.799999997730364,2.839887316881903e-40,5.20000034276553,0.0,2.0000000863326184,0.0,0.0,0.0,1.0,0.25000001079157735
rocket_only_base,time_opt,22.399999997555778,-4.945201729854891e-41,5.600000359988407,0.0,2.0000000830762508,0.0,0.0,0.0,1.0,0.25000001038453135
rocket_only_base,time_opt,23.999999997381188,1.1275302484910892e-39,6.00000037656001,0.0,2.00000008003821,0.0,0.0,0.0,1.0,0.25000001000477623
rocket_only_base,time_opt,25.599999997206602,-1.5594338581968105e-39,6.400000392524005,0.0,2.000000077191208,0.0,0.0,0.0,1.0,0.25000000964890107
rocket_only_base,time_opt,27.199999997032016,1.0792232286321074e-39,6.800000407918599,0.0,2.0000000745127697,0.0,0.0,0.0,1.0,0.2500000093140962
rocket_only_base,time_opt,28.799999996857427,-6.347415151596153e-40,7.200000422777506,0.0,2.000000071984167,0.0,0.0,0.0,1.0,0.2500000089980209
