ScenarioLabel,Policy,t_yr,A_Mt,M_build_Mt,S_ops_Mt,FE_klaunch_per_yr,FA_klaunch_per_yr,U_se_Mt_per_yr,Phi_se_Mt_per_yr,rocket_health,Delivered_Mt_per_yr
mixed_base,time_opt,0.0,5.8270363306533495e-27,-1.3097120085895724e-43,0.0,0.6071252566986657,0.0,0.009358832920114342,0.009358836,1.0,0.07589065708733321
mixed_base,time_opt,1.6000000000277406,0.014974132672449438,0.1214250513418315,0.0,0.5924369845066775,0.028102025822039908,0.012399643342028713,0.012399646421916316,1.0,0.07756737629108967
mixed_base,time_opt,3.200000000055481,0.02919315685553378,0.24553285340972683,0.0,0.5806404765972859,0.04377659660660223,0.01639313515468259,0.016393138234571232,1.0,0.07805213415048602
mixed_base,time_opt,4.800000000083221,0.04666685378200819,0.37041626805266986,0.0,0.5644986492049746,0.06631781930519978,0.021611772777786923,0.021611775857676218,1.0,0.07885205856377181
mixed_base,time_opt,6.400000000110962,0.06798212636579631,0.49657956175689255,0.0,0.5417803944343205,0.10057281341515462,0.02838728502329365,0.028387288103183406,1.0,0.08029415098118439
mixed_base,time_opt,8.000000000138703,0.09328721972047288,0.6250502033290156,0.0,0.5083815625457195,0.15643355642360354,0.03711037226534336,0.03711037534523343,1.0,0.08310188987116539
mixed_base,time_opt,9.600000000166443,0.12137710406078754,0.7580132271251862,0.0,0.45483162817195555,0.25878265614805984,0.04821990782384292,0.04821991090373321,1.0,0.08920178554000194
mixed_base,time_opt,11.200000000194184,0.14677242534977747,0.9007360839916553,0.0,0.3530362385594784,0.48517904139736595,0.062175283881436415,0.06217528696132688,1.0,0.10477690999460554
mixed_base,time_opt,12.800000000221925,0.14921707128073056,1.0683791399858755,0.0,0.1790405804736115,0.9015884571188464,0.07940540911904366,0.07940541219893438,1.0,0.13507862969905723
mixed_base,time_opt,14.400000000249666,0.09594803444642451,1.284504947508168,0.0,0.06635057687819729,1.1283191924452085,0.10023091339627757,0.10023091647616866,1.0,0.14933372116542576
mixed_base,time_opt,16.000000000277407,0.03065365739028156,1.5234389013770002,0.0,0.01973751274486325,1.151352529613485,0.1247644022030253,0.12476440528291778,1.0,0.14638625529479354
mixed_base,time_opt,17.600000000305148,6.194991894516373e-06,1.7576569098527302,0.0,1.4446243749598902e-07,1.2224537467376941,0.15280745951445615,0.15280746293442643,1.0,0.15280673640001646
mixed_base,time_opt,19.200000000332885,7.380867485546903e-06,2.0021476880969953,0.0,3.838259213172564e-08,1.4702191932145066,0.18377822132221433,0.18377822621369683,1.0,0.18377740394963735
mixed_base,time_opt,20.800000000360626,8.696340127189311e-06,2.296191534421513,0.0,2.1516361226347557e-08,1.7336691715493073,0.21670948693670886,0.21670949582239493,1.0,0.21670864913320856
mixed_base,time_opt,22.400000000388367,1.0041128999919702e-05,2.6429253730406588,0.0,1.4832178020890341e-08,2.0027447678885846,0.2503430352851997,0.2503430843630376,1.0,0.25034309784009534
mixed_base,time_opt,24.000000000416108,9.944007602581088e-06,3.043474329591756,0.0,1.386660687883206e-08,1.9640901178097125,0.2800957326150994,0.28331017539550296,1.0,0.24551126645953994
mixed_base,time_opt,25.60000000044385,0.05534509263005984,3.436292355934087,0.0,1.3866580323469633e-08,1.9025944095250238,0.29393287364009485,0.3143470202915171,1.0,0.23782430292395051
mixed_base,time_opt,27.20000000047159,0.145118808550953,3.8168112406189376,0.0,1.386657929569569e-08,1.890518813519304,0.29664991031688315,0.34247704049068195,1.0,0.2363148534232354
mixed_base,time_opt,28.80000000049933,0.24165490235603457,4.194915006102578,0.0,1.3866578915989164e-08,1.9589291042932178,0.28125760518420956,0.3671077813655737,1.0,0.24486613976997462
mixed_base,time_opt,30.400000000527072,0.2998812497933346,4.586700829741259,0.0,1.386657878517452e-08,2.026037798756043,0.2661581523656136,0.38803136321053217,1.0,0.25325472657782777
mixed_base,time_opt,32.00000000055481,0.3205267338275158,4.991908392272791,0.0,1.3866578736754527e-08,2.0519147957378823,0.26033582921527704,0.40535342061323876,1.0,0.2564893512005576
mixed_base,time_opt,33.600000000582554,0.326681101424504,5.402291354200793,0.0,1.386657871514985e-08,2.0589091022989603,0.25876211067811317,0.4193904219398929,1.0,0.25736363952069236
mixed_base,time_opt,35.200000000610295,0.3289186580497384,5.8140731774410375,0.0,1.3866578703783733e-08,2.060867311263608,0.2583215138266128,0.43056952542182686,1.0,0.2576084156412733
mixed_base,time_opt,36.800000000638036,0.3300596179196193,6.226246642474221,0.0,1.3866578697355832e-08,2.0616212535428136,0.2581518768508423,0.4393500886814593,1.0,0.257702658426174
mixed_base,time_opt,38.40000000066577,0.3307783701724173,6.638570895963247,0.0,1.3866578693822464e-08,2.0620208457176656,0.2580619685756615,0.44617197638594763,1.0,0.2577526074480305
mixed_base,time_opt,40.00000000069351,0.33127335074995135,7.050975067887246,0.0,1.3866578692160119e-08,2.0622700703925054,0.2580058929429094,0.4514273660179501,1.0,0.2577837605323855
mixed_base,time_opt,41.60000000072125,0.33162876538011143,7.463429084746214,0.0,1.3866578691754754e-08,2.0624367943311017,0.25796837994727073,0.45544958891879567,1.0,0.25780460102471003
mixed_base,time_opt,43.20000000074899,0.33189081442952884,7.8759164463929014,0.0,1.3866578692205855e-08,2.0625526011623423,0.2579423232828674,0.4585126294471725,1.0,0.25781907687861516
mixed_base,time_opt,44.800000000776734,0.3320880114496516,8.288426969405839,0.0,1.3866578693241915e-08,2.062635106182145,0.25792375951518487,0.46083634164793913,1.0,0.25782939000609045
mixed_base,time_opt,46.400000000804475,0.33223900543752105,8.700953993422734,0.0,1.3866578694675095e-08,2.062695029203352,0.2579102766911216,0.4625940802717308,1.0,0.2578368803837413
mixed_base,time_opt,48.000000000832216,0.3323564423026472,9.113493002043873,0.0,1.3866578696373413e-08,2.0627392099062924,0.25790033588587646,0.4639207859754626,1.0,0.2578424029716089
mixed_base,time_opt,49.60000000085996,0.33244913773879264,9.526040846805602,0.0,1.386657869824346e-08,2.062772204611567,0.2578929119295557,0.4649205014443286,1.0,0.2578465273097682
