model_layer,entrypoint,case_label,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,param,baseline_value,factor,trial_value,policy,tau_star_bisect (yr),tau_build (yr),Time_total (yr),TotalCost ($B),E_total (index),EnvPenalty,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),route_share_direct,regime_label,SolverSuccess,ConstraintOK,BuildOK,OpsOK,ReturnStatus,TimeseriesCSV,status
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,r,0.18,1.0,0.18,cost_opt,8.013671875,8.414355468846258,9.414355468846258,79757.74984859531,1017581056.8668423,12320709171704.066,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,0.9980774620049552,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,r,0.18,1.2,0.216,tau_star,8.013671875,8.013671875,9.013671875,79750.2233699075,1017535474.9678017,12935152338477.988,797169.9132112608,1659.1197406949352,198615.87006565224,184136.38056746655,0.9979230602891788,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,r,0.18,1.2,0.216,cost_opt,8.013671875,8.41435546884844,9.41435546884844,79735.71185883433,1017423803.3691847,12316904481889.75,796993.5449539361,1815.1167281276935,220115.5126293504,173436.2053472555,0.9977277202724547,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,0.8,0.69712,tau_star,8.013671875,8.013671875,9.013671875,79789.99077682775,1017820161.8001878,12942392204318.84,797668.7554649654,1154.0541777962483,136587.10117434387,126049.17306780719,0.9985553064285779,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,0.8,0.69712,cost_opt,8.013671875,8.41435546884947,9.41435546884947,79780.36893303043,1017742290.6921003,12324660238911.732,797553.3203761218,1249.9740277880271,149659.4500202983,129591.97686603069,0.9984351916966983,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,1.0,0.8714,tau_star,8.013671875,8.013671875,9.013671875,79769.15867387883,1017671279.274643,12938600451325.162,797407.3080810705,1419.2790015846483,169142.96028239856,156944.07963579855,0.9982232952376211,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,1.0,0.8714,cost_opt,8.013671875,8.414355468846258,9.414355468846258,79757.74984859531,1017581056.8668423,12320709171704.066,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,0.9980774620049552,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,1.2,0.999,tau_star,8.013671875,8.013671875,9.013671875,79753.919703641,1017562145.683325,12935824386002.783,797216.2266379464,1612.4403763773814,192929.2752868125,179192.55325156427,0.9979814941013522,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,1.2,0.999,cost_opt,8.013671875,8.414355468848633,9.414355468848633,79740.96486629815,1017460938.3560303,12317815974897.986,797059.3458071566,1748.8687697152864,211640.752766876,169404.7621149899,0.997810652497306,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,0.8,429600.0,tau_star,8.013671875,8.013671875,9.013671875,79799.4542602854,1017887985.6937923,12944113864448.582,797787.564587036,1033.3661661487756,121913.0352772461,112249.18468027127,0.99870638571629,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,0.8,429600.0,cost_opt,8.013671875,8.414355468848465,9.414355468848465,79790.66431472977,1017816057.1111224,12326433537136.318,797682.6376524561,1118.3560123414456,133716.94934359303,107246.27366797609,0.9985999566585282,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,1.0,537000.0,tau_star,8.013671875,8.013671875,9.013671875,79780.97448144824,1017755562.4748545,12940751155872.78,797555.5952852343,1268.86521411714,150594.56991404263,139145.7004666356,0.9984115844257899,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,1.0,537000.0,cost_opt,8.013671875,8.414355468847182,9.414355468847182,79770.48246432489,1017672201.1782467,12322925084375.996,797429.4854320249,1374.6271496506035,165512.5175361806,124126.88866378216,0.998279143624827,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,1.2,644400.0,tau_star,8.013671875,8.013671875,9.013671875,79762.51162919878,1017623408.0754677,12937389471760.63,797323.9753441085,1503.462355322097,179390.7259172135,165565.6235686744,0.9981179134762171,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,1.2,644400.0,cost_opt,8.013671875,8.414355468848983,9.414355468848983,79750.16155280855,1017526960.8676463,12319416602887.086,797174.5617098295,1632.802631885091,197316.75163272824,162205.70521129132,0.9979559494506781,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,0.8,0.016,tau_star,8.013671875,8.013671875,9.013671875,79798.98194735577,1017885276.8611984,12944027886964.398,797781.5902330651,1039.6091700401394,122962.5937611222,112852.64215424753,0.9986985708806715,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,0.8,0.016,cost_opt,8.013671875,8.41435546884846,9.41435546884846,79790.08678783849,1017811957.102519,12326333594816.164,797675.3865934022,1125.723527358952,134631.804309731,107944.337355901,0.9985907336468414,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
