model_layer,entrypoint,case_label,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,param,baseline_value,factor,trial_value,policy,tau_star_bisect (yr),tau_build (yr),Time_total (yr),TotalCost ($B),E_total (index),EnvPenalty,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),route_share_direct,regime_label,SolverSuccess,ConstraintOK,BuildOK,OpsOK,ReturnStatus,TimeseriesCSV,status,proxy_direct_launch_count,proxy_total_lunar_launch_count,proxy_direct_route_share,proxy_avg_direct_launches_per_yr,proxy_avg_total_lunar_launches_per_yr,proxy_env_per_year,proxy_env_per_direct_launch,proxy_cost_per_direct_launch_B,proxy_cost_per_total_lunar_launch_B,proxy_se_tons_per_total_launch,proxy_peak_direct_launches_per_yr,proxy_peak_apex_launches_per_yr,proxy_peak_delivered_tons_per_yr
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,1.2,0.024,tau_star,8.013671875,8.013671875,9.013671875,79749.09910183545,1017527478.3059514,12934946329401.225,797155.7920878036,1673.4898216652252,200386.4871261588,186533.97796301343,0.9979050720102984,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797155.7920878036,798829.2819094688,0.9979050720102985,88438.51907886358,88624.1803548533,112887122.18692245,1276.447450304513,0.1000420493627316,0.09983246847337453,0.25085020249529183,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,1.2,0.024,cost_opt,8.013671875,8.41435546884754,9.41435546884754,79735.82545192327,1017424276.8569424,12316914649924.615,796995.0133882785,1813.4582887907957,219789.27846580965,165447.29848430192,0.9977297958733669,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,796995.0133882785,798808.4716770693,0.9977297958733669,84657.41664690326,84850.04356595168,108071580.70710607,1276.57546128369,0.10004557633672134,0.09981845245647034,0.2751464039989086,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,r,0.18,0.8,0.144,tau_star,8.013671875,8.013671875,9.013671875,79784.91694562761,1017784225.7758116,12941467780274.809,797605.0376210996,1218.8509265565988,144659.9459794768,134044.39748738255,0.9984741931932298,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797605.0376210996,798823.8885476562,0.9984741931932298,88488.3595367287,88623.58200138678,112915606.41326447,1276.0503980910255,0.10003060811098995,0.09987798072824884,0.18109116171085396,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,r,0.18,0.8,0.144,cost_opt,8.013671875,8.41435546884816,9.41435546884816,79775.76580253916,1017709270.2576472,12323846438373.78,797495.7104128523,1307.777189283539,156869.87304156055,123856.13676476138,0.9983628298954864,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797495.7104128523,798803.4876021359,0.9983628298954863,84710.60106575998,84849.51415371496,108101852.92293441,1276.1313408579883,0.10003284627228949,0.09986907548690309,0.19638105676335446,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,r,0.18,1.0,0.18,tau_star,8.013671875,8.013671875,9.013671875,79769.15867387883,1017671279.274643,12938600451325.162,797407.3080810705,1419.2790015846483,169142.96028239856,156944.07963579855,0.9982232952376212,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797407.3080810705,798826.5870826552,0.9982232952376211,88466.42291170273,88623.88138381786,112903075.83718683,1276.2251724575099,0.10003565037024828,0.0998579165538278,0.2117392723496035,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,r,0.18,1.0,0.18,cost_opt,8.013671875,8.414355468846258,9.414355468846258,79757.74984859531,1017581056.8668424,12320709171704.066,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,0.9980774620049552,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797269.8880675646,798805.6222269513,0.9980774620049552,84686.61404446322,84849.74089520394,108088233.9990449,1276.331982552698,0.10003858297208917,0.09984625499535489,0.2321398339307273,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,r,0.18,1.2,0.216,tau_star,8.013671875,8.013671875,9.013671875,79750.2233699075,1017535474.9678016,12935152338477.988,797169.9132112608,1659.1197406949352,198615.87006565224,184136.38056746655,0.9979230602891788,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797169.9132112608,798829.0329519557,0.9979230602891788,88440.08571271192,88624.15273486485,112888009.3572079,1276.4348705395018,0.1000416875351549,0.09983390698157556,0.2486337650143941,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,r,0.18,1.2,0.216,cost_opt,8.013671875,8.41435546884844,9.41435546884844,79735.71185883433,1017423803.3691849,12316904481889.75,796993.5449539361,1815.1167281276937,220115.5126293504,173436.2053472555,0.9977277202724548,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,796993.5449539361,798808.6616820638,0.9977277202724547,84657.2606686822,84850.06374841864,108071530.41286594,1276.5772192395723,0.10004561814041144,0.09981828651048125,0.2755547394364124,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,0.8,0.69712,tau_star,8.013671875,8.013671875,9.013671875,79789.99077682775,1017820161.8001878,12942392204318.84,797668.7554649654,1154.0541777962485,136587.10117434387,126049.1730678072,0.998555306428578,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797668.7554649654,798822.8096427616,0.9985553064285779,88495.4285586267,88623.46230489576,112919593.24847154,1275.9935183958598,0.10002897848282617,0.09988446726065611,0.17098547954010784,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,0.8,0.69712,cost_opt,8.013671875,8.41435546884947,9.41435546884947,79780.36893303043,1017742290.6921004,12324660238911.732,797553.3203761218,1249.9740277880271,149659.4500202983,129591.97686603069,0.9984351916966984,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797553.3203761218,798803.2944039098,0.9984351916966983,84716.72043987425,84849.49363204061,108105360.37858775,1276.0805637573405,0.1000313921273708,0.09987486217437906,0.18735457285761262,,,
