ScenarioLabel,Policy,t_yr,A_Mt,M_build_Mt,S_ops_Mt,FE_klaunch_per_yr,FA_klaunch_per_yr,U_se_Mt_per_yr,Phi_se_Mt_per_yr,rocket_health,Delivered_Mt_per_yr
mixed_rocketfail,time_opt,0.0,8.445537113198561e-31,-3.807806589679151e-42,0.0,0.6596087929740682,4.460792153820363e-12,0.009358833314898899,0.009358836,1.0,0.08245109912231613
mixed_rocketfail,time_opt,1.6000000000519583,0.014974133303432348,0.13192175859998984,0.0,0.644994227526672,0.02789319407162089,0.012399643736866342,0.012399646421968938,1.0,0.08411092769978662
mixed_rocketfail,time_opt,3.2000000001039166,0.02923492446855806,0.2664992429240182,0.0,0.633283329697616,0.04332520487603619,0.016393135549605753,0.016393138234709146,1.0,0.08457606682170653
mixed_rocketfail,time_opt,4.800000000155875,0.046798900373290916,0.40182094984314276,0.0,0.6173323027798213,0.06532582737593984,0.021611773172841898,0.021611775857945797,1.0,0.08533226626947016
mixed_rocketfail,time_opt,6.400000000207833,0.0683125719753481,0.5383525758787291,0.0,0.5950706927895253,0.0982869952792588,0.02838728541854411,0.028387288103648357,1.0,0.08666971100859801
mixed_rocketfail,time_opt,8.000000000259792,0.09407482959000033,0.6770241134969912,0.0,0.5628900217981583,0.15069628260606277,0.037110372660873664,0.03711037534597814,1.0,0.08919828805052762
mixed_rocketfail,time_opt,9.60000000031175,0.12331216932712591,0.8197413743824759,0.0,0.5132162680718289,0.24206286978412705,0.0482199082197598,0.048219910904864466,1.0,0.09440989223199449
mixed_rocketfail,time_opt,11.200000000363708,0.15205144852283,0.970797201958585,0.0,0.4253251318571161,0.4290638657742841,0.062175284277867254,0.06217528696297205,1.0,0.10679862470392504
mixed_rocketfail,time_opt,12.800000000415666,0.16571913021298865,1.1416750014904244,0.0,0.25871376534071217,0.8245510957799043,0.0794054095161287,0.07940541220123362,1.0,0.13540810764007705
mixed_rocketfail,time_opt,14.400000000467625,0.12785756628146674,1.3583279737216594,0.0,0.10264100877180067,1.1741995533656595,0.10023091379415358,0.10023091647925869,1.0,0.15960507026718251
mixed_rocketfail,time_opt,16.000000000519584,0.05338711767665436,1.6136960861573846,0.0,0.034217142962007674,1.2590298191218483,0.12476440260180069,0.1247644052869064,1.0,0.161655870260482
mixed_rocketfail,time_opt,17.60000000057154,0.001204198013544023,1.872345478582508,0.0,0.0010294997256518352,1.2284437718564785,0.15280746025423783,0.15280746293936096,1.0,0.15368415894776633
mixed_rocketfail,time_opt,19.2000000006235,7.380048989627177e-06,2.1182401329069194,0.0,5.088465413697981e-08,1.4702192068022846,0.18377822265525434,0.18377822621953485,1.0,0.18377740721086733
mixed_rocketfail,time_opt,20.800000000675457,8.694936939702342e-06,2.412283984453856,0.0,2.4313225977824002e-08,1.7336691988283575,0.2167094903468396,0.2167094958289883,1.0,0.21670865289269792
mixed_rocketfail,time_opt,22.400000000727417,1.003972621157366e-05,2.7590178290934326,0.0,1.5832595860153898e-08,2.002739037524269,0.25034307247689047,0.2503430843701422,1.0,0.2503423816696081
mixed_rocketfail,time_opt,24.000000000779373,1.1148184382542304e-05,3.159565639777813,0.0,1.2132711793842402e-08,2.2236569766501644,0.28263288142408705,0.2833101754028122,1.0,0.2779571235978595
mixed_rocketfail,time_opt,25.600000000831333,0.007492363133057855,3.6042970375488568,0.0,1.2132620767090654e-08,2.1244414349940426,0.3049590669816883,0.3143470202987136,1.0,0.2655551808908329
mixed_rocketfail,time_opt,27.200000000883293,0.0705385833070038,4.029185326987985,0.0,1.2132618953923576e-08,2.0647582274827787,0.31838785191820085,0.34247704049748684,1.0,0.2580947799519247
mixed_rocketfail,time_opt,28.80000000093525,0.16700750088268482,4.442136974924481,0.0,1.2132618340290908e-08,2.075875464910801,0.3158864948369844,0.3671077813717808,1.0,0.2594844346304274
